,ccaa,dosisPrimeraDosis,dosisPautaCompletada,porcentajeEntregadas,porcentajePoblacionAdministradas,porcentajePoblacionPrimeraDosis,porcentajePoblacionCompletas,fechaUltRegistro
0,Andalucía,2804632,1324848,0.9571869124082977,0.4829363791526664,0.33134402381925926,0.1565198098249246,1621468800000
1,Aragón,494372,270668,0.9529277025793987,0.569556285547292,0.371878551908355,0.20360300317965144,1621468800000
2,Asturias,447261,248389,0.9795973764807038,0.6765703034205485,0.43901455068002637,0.24380928636492133,1621468800000
3,Baleares,336944,141426,0.8982766828525184,0.4026570087482918,0.28760702765498153,0.12071772013489902,1621468800000
4,Canarias,616270,283662,0.8763818746465318,0.40592761237380237,0.28321856364478626,0.1303622506378817,1621468800000
5,Cantabria,216835,110435,0.9224533971319121,0.5556274178468189,0.37199029001295236,0.18945625788078674,1621468800000
6,Castilla y Leon,959720,567430,0.917040814777712,0.6306833887423285,0.40073188309578867,0.2369308677791891,1621468800000
7,Castilla La Mancha,724018,362666,0.9447278709580931,0.5250571943080968,0.35400477503409167,0.1773236241951359,1621468800000
8,Cataluña,2642992,1135792,0.9085110771395987,0.4812126605572742,0.33969528097177565,0.14597970124975596,1621468800000
9,C. Valenciana,1668460,776451,0.9294144154553647,0.4771494099779074,0.32990776004759803,0.15352912877546812,1621468800000
10,Extremadura,404699,216051,0.96157459146432,0.5782034930877915,0.3803608502735466,0.20305793209879444,1621468800000
11,Galicia,1115803,603245,0.9735072571322554,0.631173664853197,0.4129821427712219,0.2232736537865786,1621468800000
12,La Rioja,115235,61926,0.9349152360802379,0.545596629094069,0.36020618041098545,0.19357077214501398,1621468800000
13,Madrid,2168152,1018574,0.9179030036902189,0.4664858770528363,0.31979171337343626,0.15023463514441537,1621468800000
14,Murcia,429379,214026,0.8589308645461452,0.4226789593522188,0.28412156551095746,0.14162174251663026,1621468800000
15,Navarra,237738,121398,0.9677893497926617,0.5347528800039928,0.3595569852857772,0.18360337388100673,1621468800000
16,País Vasco,849078,382394,0.9370625924100542,0.5479981121403069,0.3823807568011587,0.1722104531223542,1621468800000
17,Ceuta,25381,8631,0.9362306610407877,0.39527564665922427,0.3014298947768462,0.10250350347972732,1621468800000
18,Melilla,22354,7713,0.8348377997179125,0.3398755110478203,0.256718269098259,0.08857779411089163,1621382400000
