,CCAA,Una Dosis Vacunas TOTAL,Una Dosis personas INE,Una Dosis % Total
0,Andalucía,2804632,7062213,0.3971321737251482
1,Aragón,494372,1132764,0.4364298300440339
2,Asturias,447261,901209,0.4962899837884442
3,Baleares,336944,986279,0.3416315261705866
4,Canarias,616270,1871033,0.32937420131018535
5,Cantabria,216835,501384,0.43247291497135926
6,Castilla y Leon,959720,2092873,0.45856580881878645
7,Cataluña,2642992,6531658,0.40464335395392714
8,C. Valenciana,1668460,4269305,0.3908036553959017
9,Extremadura,404699,911213,0.4441321622935582
10,Galicia,1115803,2362643,0.4722689801209916
11,La Rioja,115235,270788,0.42555430816727474
12,Madrid,2168152,5695623,0.3806698582402663
13,Murcia,429379,1237479,0.34697881741831577
14,Navarra,237738,552935,0.42995650483329867
15,País Vasco,849078,1898123,0.44732506797504695
16,Ceuta,25381,66158,0.3836421899090057
17,Melilla,22354,66178,0.3377859711686663
18,Totales,16347683,40129822,0.40736993550581907
