,CCAA Pautas Completas,16-17 Vacunados,18-24 Vacunados,25-49 Vacunados,50-59 Vacunados,60-69 Vacunados,70-79 Vacunados,80+ Vacunados,16-17 INE,18-24 INE,25-49 INE,50-59 INE,60-69 INE,70-79 INE,80+ INE,16-17 %,18-24 %,25-49 %,50-59 %,60-69 %,70-79 %,80+ %
0,Andalucía,338,15429,158970,88701,85348,558376,417686,181921,625846,3009381,1265021,916147,650381,413516,0.0018579493296540805,15429,158970,88701,85348,558376,417686
1,Aragón,31,1609,23691,15983,29003,102637,97714,25106,89180,446083,198266,156367,118955,98807,0.001234764598104039,1609,23691,15983,29003,102637,97714
2,Asturias,36,3457,32588,19552,14268,92812,85676,15563,54179,322095,162645,149652,109249,87826,0.0023131786930540386,3457,32588,19552,14268,92812,85676
3,Baleares,33,1398,19262,8819,6284,57349,48281,23300,85839,464054,165797,117231,80516,49542,0.0014163090128755365,1398,19262,8819,6284,57349,48281
4,Canarias,48,2822,38810,24955,18468,113981,84578,44352,163899,832411,350512,235092,154531,90236,0.0010822510822510823,2822,38810,24955,18468,113981,84578
5,Cantabria,5,723,12248,6957,5029,44317,41156,10791,34935,194241,89964,77345,53066,41042,0.0004633490872022982,723,12248,6957,5029,44317,41156
6,Castilla y Leon,102,3001,45803,33697,45398,216204,223225,40684,144422,738950,381175,318575,245410,223657,0.002507128109330449,3001,45803,33697,45398,216204,223225
8,Cataluña,360,20325,151310,85117,70552,371476,436652,159864,556316,2803626,1091780,837584,635292,447196,0.002251914127007957,20325,151310,85117,70552,371476,436652
9,C. Valenciana,125,6020,73156,43644,31382,338364,283760,103049,352834,1765967,752334,580728,437862,276531,0.001213015167541655,6020,73156,43644,31382,338364,283760
10,Extremadura,58,1030,21374,15041,13192,89158,76198,20953,76088,351778,169216,125297,91876,76005,0.002768100033408104,1030,21374,15041,13192,89158,76198
11,Galicia,34,1887,43923,28143,21341,272506,235411,44014,152745,889004,405889,346927,289762,234302,0.0007724814831644477,1887,43923,28143,21341,272506,235411
12,La Rioja,9,425,5042,4415,4591,24641,22803,6286,21170,107618,47664,37718,28125,22207,0.0014317531021317213,425,5042,4415,4591,24641,22803
13,Madrid,236,15540,123084,60603,67543,393390,358178,135861,479716,2513737,972783,703323,526081,364122,0.0017370695048615865,15540,123084,60603,67543,393390,358178
14,Murcia,116,2634,28589,17651,12993,81408,70635,34712,118667,551265,213256,146909,102899,69771,0.0033417838211569485,2634,28589,17651,12993,81408,70635
15,Navarra,6,1001,13356,9592,7162,49185,41096,13906,48505,223028,96694,73844,55792,41166,0.00043146843089313965,1001,13356,9592,7162,49185,41096
16,País Vasco,14,3917,41655,26090,17655,136340,156723,41824,140323,724849,339977,280119,213081,157950,0.0003347360367253252,3917,41655,26090,17655,136340,156723
17,Ceuta,3,112,1128,699,1017,3428,2244,2175,7581,30066,11556,7857,4318,2605,0.001379310344827586,112,1128,699,1017,3428,2244
18,Melilla,6,88,972,645,1454,2772,1776,2324,8536,30095,11299,7827,3748,2349,0.0025817555938037868,88,972,645,1454,2772,1776
20,Totales,1656,86151,880206,523412,473261,3083816,2816811,949049,3310299,16706113,7033306,5336986,3960045,2834024,0.001744904636114679,86151,880206,523412,473261,3083816,2816811
